timestamp,open,high,low,close,volume,time_diff
2024-01-01 00:00:00,101.74,102.79,101.56,102.36,105526.0,
2024-01-01 00:15:00,102.37,102.55,101.54,102.08,102729.0,0 days 00:15:00
2024-01-01 00:30:00,102.05,102.57,101.63,102.19,99849.0,0 days 00:15:00
2024-01-01 00:45:00,102.17,102.27,101.95,101.99,18505.0,0 days 00:15:00
2024-01-01 01:00:00,101.98,102.59,101.56,102.43,49602.0,0 days 00:15:00
2024-01-01 01:15:00,102.38,102.52,102.17,102.4,27491.0,0 days 00:15:00
2024-01-01 01:30:00,102.39,104.53,102.39,104.36,183025.0,0 days 00:15:00
2024-01-01 01:45:00,104.39,104.78,103.71,104.12,94017.0,0 days 00:15:00
2024-01-01 02:00:00,104.11,104.24,103.35,103.62,101032.0,0 days 00:15:00
2024-01-01 02:15:00,103.61,103.84,103.21,103.6,34504.0,0 days 00:15:00
2024-01-01 02:30:00,103.59,104.37,103.53,103.96,65942.0,0 days 00:15:00
2024-01-01 02:45:00,103.97,104.27,103.64,103.72,51546.0,0 days 00:15:00
2024-01-01 03:00:00,103.71,104.07,103.33,103.41,46915.0,0 days 00:15:00
2024-01-01 03:15:00,103.41,103.41,102.7,102.98,86789.0,0 days 00:15:00
2024-01-01 03:30:00,102.97,103.65,102.63,103.05,66874.0,0 days 00:15:00
2024-01-01 03:45:00,103.08,103.14,102.57,103.13,73464.0,0 days 00:15:00
2024-01-01 04:00:00,103.13,104.03,102.68,102.69,74350.0,0 days 00:15:00
2024-01-01 04:15:00,102.73,102.88,101.56,102.17,116331.0,0 days 00:15:00
2024-01-01 04:30:00,102.14,102.44,101.85,102.14,44850.0,0 days 00:15:00
2024-01-01 04:45:00,102.12,102.67,102.04,102.67,29313.0,0 days 00:15:00
2024-01-01 05:00:00,102.67,102.84,102.34,102.84,46768.0,0 days 00:15:00
2024-01-01 05:15:00,102.83,102.84,102.23,102.32,48274.0,0 days 00:15:00
2024-01-01 05:30:00,102.33,102.37,101.93,102.2,30435.0,0 days 00:15:00
2024-01-01 05:45:00,102.22,102.22,101.44,101.68,60119.0,0 days 00:15:00
2024-01-01 06:00:00,101.67,102.1,101.53,101.66,45842.0,0 days 00:15:00
2024-01-01 06:15:00,101.67,102.19,101.63,102.02,29583.0,0 days 00:15:00
2024-01-01 06:30:00,102.03,102.45,101.94,102.23,24473.0,0 days 00:15:00
2024-01-01 06:45:00,102.24,102.58,102.14,102.38,21143.0,0 days 00:15:00
2024-01-01 07:00:00,102.37,102.86,102.32,102.71,30487.0,0 days 00:15:00
2024-01-01 07:15:00,102.7,102.7,101.87,102.41,73250.0,0 days 00:15:00
2024-01-01 07:30:00,102.41,103.31,102.3,102.33,84693.0,0 days 00:15:00
2024-01-01 07:45:00,102.32,102.8,102.26,102.52,37751.0,0 days 00:15:00
2024-01-01 08:00:00,102.52,103.06,102.41,102.84,61566.0,0 days 00:15:00
2024-01-01 08:15:00,102.84,103.01,102.45,102.54,41268.0,0 days 00:15:00
2024-01-01 08:30:00,102.54,102.84,101.91,102.15,82389.0,0 days 00:15:00
2024-01-01 08:45:00,102.16,102.67,102.03,102.56,27078.0,0 days 00:15:00
2024-01-01 09:00:00,102.55,102.71,101.78,102.11,50231.0,0 days 00:15:00
2024-01-01 09:15:00,102.1,102.75,102.1,102.35,44117.0,0 days 00:15:00
2024-01-01 09:30:00,102.36,103.96,102.36,103.68,110753.0,0 days 00:15:00
2024-01-01 09:45:00,103.68,104.43,103.52,104.13,166317.0,0 days 00:15:00
2024-01-01 10:00:00,104.13,104.98,104.13,104.66,110970.0,0 days 00:15:00
2024-01-01 10:15:00,104.65,104.91,104.12,104.24,76661.0,0 days 00:15:00
2024-01-01 10:30:00,104.24,104.59,104.02,104.56,38171.0,0 days 00:15:00
2024-01-01 10:45:00,104.56,104.7,104.08,104.23,53433.0,0 days 00:15:00
2024-01-01 11:00:00,104.23,104.69,104.2,104.61,39483.0,0 days 00:15:00
2024-01-01 11:15:00,104.61,104.7,103.83,104.03,67622.0,0 days 00:15:00
2024-01-01 11:30:00,104.05,104.32,103.85,104.22,48885.0,0 days 00:15:00
2024-01-01 11:45:00,104.22,104.59,104.03,104.46,44944.0,0 days 00:15:00
2024-01-01 12:00:00,104.46,104.66,103.95,104.19,49328.0,0 days 00:15:00
2024-01-01 12:15:00,104.19,105.07,104.17,104.66,78699.0,0 days 00:15:00
2024-01-01 12:30:00,104.66,105.19,104.13,105.07,123473.0,0 days 00:15:00
2024-01-01 12:45:00,105.08,106.2,104.74,104.86,189658.0,0 days 00:15:00
2024-01-01 13:00:00,104.87,105.35,104.43,105.22,130198.0,0 days 00:15:00
2024-01-01 13:15:00,105.23,105.71,104.96,105.61,80714.0,0 days 00:15:00
2024-01-01 13:30:00,105.62,105.9,105.21,105.74,92824.0,0 days 00:15:00
2024-01-01 13:45:00,105.74,105.75,105.34,105.36,38655.0,0 days 00:15:00
2024-01-01 14:00:00,105.35,105.39,104.39,104.93,90119.0,0 days 00:15:00
2024-01-01 14:15:00,104.92,105.0,104.28,104.63,73359.0,0 days 00:15:00
2024-01-01 14:30:00,104.63,104.99,104.37,104.59,34997.0,0 days 00:15:00
2024-01-01 14:45:00,104.6,104.79,104.38,104.47,41303.0,0 days 00:15:00
2024-01-01 15:00:00,104.45,104.93,104.27,104.92,52517.0,0 days 00:15:00
2024-01-01 15:15:00,104.91,105.7,104.82,105.5,61654.0,0 days 00:15:00
2024-01-01 15:30:00,105.52,106.14,104.94,106.04,77310.0,0 days 00:15:00
2024-01-01 15:45:00,106.03,106.46,105.63,106.02,146323.0,0 days 00:15:00
2024-01-01 16:00:00,106.04,108.5,105.86,107.93,271393.0,0 days 00:15:00
2024-01-01 16:15:00,107.94,108.54,106.8,107.05,189514.0,0 days 00:15:00
2024-01-01 16:30:00,107.06,107.38,106.72,106.99,75259.0,0 days 00:15:00
2024-01-01 16:45:00,106.99,107.04,106.36,106.65,61936.0,0 days 00:15:00
2024-01-01 17:00:00,106.63,106.9,106.51,106.56,45512.0,0 days 00:15:00
